二月田,九州旅客鉄道,指宿枕崎線,0
日切,大井川鐵道,大井川本線,15
塩郷,大井川鐵道,大井川本線,17
地名,大井川鐵道,大井川本線,35
代官町,大井川鐵道,大井川本線,39
下泉,大井川鐵道,大井川本線,61
新金谷,大井川鐵道,大井川本線,872
千頭,大井川鐵道,大井川本線,1022
公園東口,大阪高速鉄道,国際文化公園都市モノレール線（彩都線）,1940
阪大病院前,大阪高速鉄道,国際文化公園都市モノレール線（彩都線）,7340
万博記念公園,大阪高速鉄道,国際文化公園都市モノレール線（彩都線）,16698
南茨木,大阪高速鉄道,大阪モノレール線,28347
門真市,大阪高速鉄道,大阪モノレール線,21600
沢良宜,大阪高速鉄道,大阪モノレール線,3338
大日,大阪高速鉄道,大阪モノレール線,13632
南摂津,大阪高速鉄道,大阪モノレール線,8706
少路,大阪高速鉄道,大阪モノレール線,11573
山田,大阪高速鉄道,大阪モノレール線,16880
摂津,大阪高速鉄道,大阪モノレール線,5219
柴原,大阪高速鉄道,大阪モノレール線,9693
宇野辺,大阪高速鉄道,大阪モノレール線,7220
千里中央,大阪高速鉄道,大阪モノレール線,40421
万博記念公園,大阪高速鉄道,大阪モノレール線,0
蛍池,大阪高速鉄道,大阪モノレール線,25236
大阪空港,大阪高速鉄道,大阪モノレール線,14252
江坂,大阪市,1号線(御堂筋線),98928
中津,大阪市,1号線(御堂筋線),40548
心斎橋,大阪市,1号線(御堂筋線),153750
難波,大阪市,1号線(御堂筋線),354981
西中島南方,大阪市,1号線(御堂筋線),62145
新大阪,大阪市,1号線(御堂筋線),143021
本町,大阪市,1号線(御堂筋線),217510
淀屋橋,大阪市,1号線(御堂筋線),228099
梅田,大阪市,1号線(御堂筋線),442507
東三国,大阪市,1号線(御堂筋線),35978
大国町,大阪市,1号線(御堂筋線),32198
長居,大阪市,1号線(御堂筋線),30968
北花田,大阪市,1号線(御堂筋線),24790
動物園前,大阪市,1号線(御堂筋線),26968
新金岡,大阪市,1号線(御堂筋線),21446
西田辺,大阪市,1号線(御堂筋線),26186
我孫子,大阪市,1号線(御堂筋線),33856
昭和町,大阪市,1号線(御堂筋線),24632
中百舌鳥,大阪市,1号線(御堂筋線),79690
天王寺,大阪市,1号線(御堂筋線),261639
守口,大阪市,2号線(谷町線),16279
大日,大阪市,2号線(谷町線),30569
関目高殿,大阪市,2号線(谷町線),14682
中崎町,大阪市,2号線(谷町線),13989
天満橋,大阪市,2号線(谷町線),91519
南森町,大阪市,2号線(谷町線),80853
野江内代,大阪市,2号線(谷町線),10368
都島,大阪市,2号線(谷町線),33536
谷町四丁目,大阪市,2号線(谷町線),89473
天神橋筋六丁目,大阪市,2号線(谷町線),53893
千林大宮,大阪市,2号線(谷町線),16104
谷町九丁目,大阪市,2号線(谷町線),72944
太子橋今市,大阪市,2号線(谷町線),13113
谷町六丁目,大阪市,2号線(谷町線),34822
東梅田,大阪市,2号線(谷町線),166543
阿倍野,大阪市,2号線(谷町線),16566
出戸,大阪市,2号線(谷町線),15449
文の里,大阪市,2号線(谷町線),10609
天王寺,大阪市,2号線(谷町線),0
平野,大阪市,2号線(谷町線),20610
駒川中野,大阪市,2号線(谷町線),16315
田辺,大阪市,2号線(谷町線),8606
喜連瓜破,大阪市,2号線(谷町線),21874
八尾南,大阪市,2号線(谷町線),11327
長原,大阪市,2号線(谷町線),11081
四天王寺前夕陽ヶ丘,大阪市,2号線(谷町線),27021
西梅田,大阪市,3号線(四つ橋線),115012
四ツ橋,大阪市,3号線(四つ橋線),32228
本町,大阪市,3号線(四つ橋線),0
難波,大阪市,3号線(四つ橋線),0
肥後橋,大阪市,3号線(四つ橋線),67960
花園町,大阪市,3号線(四つ橋線),15333
大国町,大阪市,3号線(四つ橋線),0
岸里,大阪市,3号線(四つ橋線),15728
玉出,大阪市,3号線(四つ橋線),20248
北加賀屋,大阪市,3号線(四つ橋線),24768
住之江公園,大阪市,3号線(四つ橋線),31178
長田,大阪市,4号線(中央線),23150
高井田,大阪市,4号線(中央線),15405
緑橋,大阪市,4号線(中央線),20597
森ノ宮,大阪市,4号線(中央線),32088
堺筋本町,大阪市,4号線(中央線),112160
九条,大阪市,4号線(中央線),21196
弁天町,大阪市,4号線(中央線),36676
谷町四丁目,大阪市,4号線(中央線),0
本町,大阪市,4号線(中央線),0
阿波座,大阪市,4号線(中央線),47144
深江橋,大阪市,4号線(中央線),21717
朝潮橋,大阪市,4号線(中央線),20019
コスモスクエア,大阪市,4号線(中央線),20293
大阪港,大阪市,4号線(中央線),20139
西長堀,大阪市,5号線(千日前線),25838
小路,大阪市,5号線(千日前線),7799
日本橋,大阪市,5号線(千日前線),70938
今里,大阪市,5号線(千日前線),21536
玉川,大阪市,5号線(千日前線),10186
谷町九丁目,大阪市,5号線(千日前線),0
阿波座,大阪市,5号線(千日前線),0
桜川,大阪市,5号線(千日前線),16109
新深江,大阪市,5号線(千日前線),12611
鶴橋,大阪市,5号線(千日前線),28598
難波,大阪市,5号線(千日前線),0
野田阪神,大阪市,5号線(千日前線),25715
北巽,大阪市,5号線(千日前線),13039
南巽,大阪市,5号線(千日前線),11698
天神橋筋六丁目,大阪市,6号線(堺筋線),0
日本橋,大阪市,6号線(堺筋線),0
堺筋本町,大阪市,6号線(堺筋線),0
北浜,大阪市,6号線(堺筋線),68083
長堀橋,大阪市,6号線(堺筋線),49963
南森町,大阪市,6号線(堺筋線),0
扇町,大阪市,6号線(堺筋線),15555
動物園前,大阪市,6号線(堺筋線),0
天下茶屋,大阪市,6号線(堺筋線),69987
恵美須町,大阪市,6号線(堺筋線),19873
横堤,大阪市,7号線(長堀鶴見緑地線),17314
門真南,大阪市,7号線(長堀鶴見緑地線),10934
鶴見緑地,大阪市,7号線(長堀鶴見緑地線),9764
森ノ宮,大阪市,7号線(長堀鶴見緑地線),0
心斎橋,大阪市,7号線(長堀鶴見緑地線),0
長堀橋,大阪市,7号線(長堀鶴見緑地線),0
今福鶴見,大阪市,7号線(長堀鶴見緑地線),22440
京橋,大阪市,7号線(長堀鶴見緑地線),34096
大阪ビジネスパーク,大阪市,7号線(長堀鶴見緑地線),13422
蒲生四丁目,大阪市,7号線(長堀鶴見緑地線),17602
谷町六丁目,大阪市,7号線(長堀鶴見緑地線),0
玉造,大阪市,7号線(長堀鶴見緑地線),13910
大正,大阪市,7号線(長堀鶴見緑地線),11552
西大橋,大阪市,7号線(長堀鶴見緑地線),14342
松屋町,大阪市,7号線(長堀鶴見緑地線),10789
西長堀,大阪市,7号線(長堀鶴見緑地線),0
ドーム前千代崎,大阪市,7号線(長堀鶴見緑地線),11027
コスモスクエア,大阪市,南港ポートタウン線,0
トレードセンター前,大阪市,南港ポートタウン線,12838
南港東,大阪市,南港ポートタウン線,4424
ポートタウン東,大阪市,南港ポートタウン線,13844
中ふ頭,大阪市,南港ポートタウン線,5543
平林,大阪市,南港ポートタウン線,5186
住之江公園,大阪市,南港ポートタウン線,0
フェリーターミナル,大阪市,南港ポートタウン線,3796
南港口,大阪市,南港ポートタウン線,4586
ポートタウン西,大阪市,南港ポートタウン線,9053
泉ヶ丘,泉北高速鉄道,泉北高速鉄道線,42207
中百舌鳥,泉北高速鉄道,泉北高速鉄道線,0
深井,泉北高速鉄道,泉北高速鉄道線,25186
和泉中央,泉北高速鉄道,泉北高速鉄道線,32822
光明池,泉北高速鉄道,泉北高速鉄道線,31311
栂・美木多,泉北高速鉄道,泉北高速鉄道線,20770
大山寺,大山観光電鉄,大山鋼索線,42
大山ケーブル,大山観光電鉄,大山鋼索線,900
阿夫利神社,大山観光電鉄,大山鋼索線,905
北方真桑,樽見鉄道,樽見線,287
樽見,樽見鉄道,樽見線,72
糸貫,樽見鉄道,樽見線,29
美江寺,樽見鉄道,樽見線,47
高尾,樽見鉄道,樽見線,3
谷汲口,樽見鉄道,樽見線,25
横屋,樽見鉄道,樽見線,48
東大垣,樽見鉄道,樽見線,127
神海,樽見鉄道,樽見線,20
織部,樽見鉄道,樽見線,22
大垣,樽見鉄道,樽見線,714
日当,樽見鉄道,樽見線,5
木知原,樽見鉄道,樽見線,17
水鳥,樽見鉄道,樽見線,10
鍋原,樽見鉄道,樽見線,5
高科,樽見鉄道,樽見線,5
十九条,樽見鉄道,樽見線,31
本巣,樽見鉄道,樽見線,126
モレラ岐阜,樽見鉄道,樽見線,231
府中,丹後海陸交通,天橋立鋼索鉄道,1677
傘松,丹後海陸交通,天橋立鋼索鉄道,1677
上郡,智頭急行,智頭線,411
佐用,智頭急行,智頭線,0
智頭,智頭急行,智頭線,119
西粟倉,智頭急行,智頭線,2
大原,智頭急行,智頭線,96
河野原円心,智頭急行,智頭線,11
石井,智頭急行,智頭線,6
山郷,智頭急行,智頭線,12
宮本武蔵,智頭急行,智頭線,8
あわくら温泉,智頭急行,智頭線,11
久崎,智頭急行,智頭線,62
平福,智頭急行,智頭線,22
苔縄,智頭急行,智頭線,4
恋山形,智頭急行,智頭線,4
宮脇,筑波観光鉄道,筑波山鋼索鉄道線,1200
筑波山頂,筑波観光鉄道,筑波山鋼索鉄道線,1200
筑豊香月,筑豊電気鉄道,筑豊電気鉄道線,642
希望が丘高校前,筑豊電気鉄道,筑豊電気鉄道線,904
黒崎駅前,筑豊電気鉄道,筑豊電気鉄道線,8317
筑豊中間,筑豊電気鉄道,筑豊電気鉄道線,928
東中間,筑豊電気鉄道,筑豊電気鉄道線,700
今池,筑豊電気鉄道,筑豊電気鉄道線,1477
三ヶ森,筑豊電気鉄道,筑豊電気鉄道線,2455
森下,筑豊電気鉄道,筑豊電気鉄道線,513
永犬丸,筑豊電気鉄道,筑豊電気鉄道線,1409
熊西,筑豊電気鉄道,筑豊電気鉄道線,482
西黒崎,筑豊電気鉄道,筑豊電気鉄道線,152
西山,筑豊電気鉄道,筑豊電気鉄道線,352
萩原,筑豊電気鉄道,筑豊電気鉄道線,1129
穴生,筑豊電気鉄道,筑豊電気鉄道線,1229
通谷,筑豊電気鉄道,筑豊電気鉄道線,1968
楠橋,筑豊電気鉄道,筑豊電気鉄道線,476
感田,筑豊電気鉄道,筑豊電気鉄道線,352
新木屋瀬,筑豊電気鉄道,筑豊電気鉄道線,210
筑豊直方,筑豊電気鉄道,筑豊電気鉄道線,899
木屋瀬,筑豊電気鉄道,筑豊電気鉄道線,877
遠賀野,筑豊電気鉄道,筑豊電気鉄道線,365
羽生,秩父鉄道,秩父本線,5092
新郷,秩父鉄道,秩父本線,329
西羽生,秩父鉄道,秩父本線,348
樋口,秩父鉄道,秩父本線,243
東行田,秩父鉄道,秩父本線,2443
皆野,秩父鉄道,秩父本線,1237
石原,秩父鉄道,秩父本線,1037
寄居,秩父鉄道,秩父本線,2900
三峰口,秩父鉄道,秩父本線,446
武州日野,秩父鉄道,秩父本線,234
波久礼,秩父鉄道,秩父本線,239
御花畑,秩父鉄道,秩父本線,2874
大野原,秩父鉄道,秩父本線,1218
持田,秩父鉄道,秩父本線,1035
小前田,秩父鉄道,秩父本線,1100
大麻生,秩父鉄道,秩父本線,320
永田,秩父鉄道,秩父本線,632
親鼻,秩父鉄道,秩父本線,422
和銅黒谷,秩父鉄道,秩父本線,370
武川,秩父鉄道,秩父本線,960
行田市,秩父鉄道,秩父本線,1788
武州荒木,秩父鉄道,秩父本線,363
ひろせ野鳥の森,秩父鉄道,秩父本線,1180
影森,秩父鉄道,秩父本線,503
上熊谷,秩父鉄道,秩父本線,959
秩父,秩父鉄道,秩父本線,1209
明戸,秩父鉄道,秩父本線,286
桜沢,秩父鉄道,秩父本線,761
長瀞,秩父鉄道,秩父本線,1314
上長瀞,秩父鉄道,秩父本線,294
浦山口,秩父鉄道,秩父本線,221
白久,秩父鉄道,秩父本線,157
熊谷,秩父鉄道,秩父本線,11252
野上,秩父鉄道,秩父本線,697
武州中川,秩父鉄道,秩父本線,302
銚子,銚子電気鉄道,銚子電気鉄道線,391
海鹿島,銚子電気鉄道,銚子電気鉄道線,80
笠上黒生,銚子電気鉄道,銚子電気鉄道線,112
犬吠,銚子電気鉄道,銚子電気鉄道線,119
外川,銚子電気鉄道,銚子電気鉄道線,115
仲ノ町,銚子電気鉄道,銚子電気鉄道線,34
西海鹿島,銚子電気鉄道,銚子電気鉄道線,34
観音,銚子電気鉄道,銚子電気鉄道線,77
本銚子,銚子電気鉄道,銚子電気鉄道線,88
君ヶ浜,銚子電気鉄道,銚子電気鉄道線,10
公会堂前,長崎電気軌道,蛍茶屋支線,0
諏訪神社前,長崎電気軌道,蛍茶屋支線,3400
新中川町,長崎電気軌道,蛍茶屋支線,2800
賑橋,長崎電気軌道,蛍茶屋支線,1100
新大工町,長崎電気軌道,蛍茶屋支線,2800
西浜町,長崎電気軌道,蛍茶屋支線,0
蛍茶屋,長崎電気軌道,蛍茶屋支線,2900
長崎駅前,長崎電気軌道,桜町支線,0
公会堂前,長崎電気軌道,桜町支線,2800
桜町,長崎電気軌道,桜町支線,1100
住吉,長崎電気軌道,赤迫支線,3500
赤迫,長崎電気軌道,赤迫支線,4600
築町,長崎電気軌道,大浦支線,0
大浦海岸通,長崎電気軌道,大浦支線,600
石橋,長崎電気軌道,大浦支線,2100
大浦天主堂下,長崎電気軌道,大浦支線,900
市民病院前,長崎電気軌道,大浦支線,700
浦上駅前,長崎電気軌道,本線,3100
大波止,長崎電気軌道,本線,2900
正覚寺下,長崎電気軌道,本線,1100
五島町,長崎電気軌道,本線,1300
若葉町,長崎電気軌道,本線,1600
築町,長崎電気軌道,本線,6500
浜口町,長崎電気軌道,本線,2200
千歳町,長崎電気軌道,本線,3600
浦上車庫前,長崎電気軌道,本線,2300
銭座町,長崎電気軌道,本線,900
長崎大学前,長崎電気軌道,本線,3700
住吉,長崎電気軌道,本線,0
松山町,長崎電気軌道,本線,3900
岩屋橋,長崎電気軌道,本線,2900
宝町,長崎電気軌道,本線,2000
大学病院前,長崎電気軌道,本線,3000
観光通,長崎電気軌道,本線,2700
西浜町,長崎電気軌道,本線,5700
昭和町通,長崎電気軌道,本線,900
大橋,長崎電気軌道,本線,1900
茂里町,長崎電気軌道,本線,3700
思案橋,長崎電気軌道,本線,1700
出島,長崎電気軌道,本線,1900
長崎駅前,長崎電気軌道,本線,7300
八千代町,長崎電気軌道,本線,700
須坂,長野電鉄,長野線,6177
善光寺下,長野電鉄,長野線,1337
柳原,長野電鉄,長野線,1275
長野,長野電鉄,長野線,10677
本郷,長野電鉄,長野線,2702
桜沢,長野電鉄,長野線,82
信濃吉田,長野電鉄,長野線,2989
村山,長野電鉄,長野線,797
夜間瀬,長野電鉄,長野線,163
市役所前,長野電鉄,長野線,1388
都住,長野電鉄,長野線,239
日野,長野電鉄,長野線,375
延徳,長野電鉄,長野線,307
桐原,長野電鉄,長野線,1765
信濃竹原,長野電鉄,長野線,60
附属中学前,長野電鉄,長野線,2155
上条,長野電鉄,長野線,44
小布施,長野電鉄,長野線,1850
湯田中,長野電鉄,長野線,1255
北須坂,長野電鉄,長野線,825
権堂,長野電鉄,長野線,2588
朝陽,長野電鉄,長野線,2169
信州中野,長野電鉄,長野線,3106
中野松川,長野電鉄,長野線,162
前平公園,長良川鉄道,越美南線,99
加茂野,長良川鉄道,越美南線,117
赤池,長良川鉄道,越美南線,14
美並苅安,長良川鉄道,越美南線,40
美濃太田,長良川鉄道,越美南線,855
深戸,長良川鉄道,越美南線,22
富加,長良川鉄道,越美南線,179
母野,長良川鉄道,越美南線,6
湯の洞温泉口,長良川鉄道,越美南線,55
上万場,長良川鉄道,越美南線,3
郡上大和,長良川鉄道,越美南線,26
美濃市,長良川鉄道,越美南線,194
北濃,長良川鉄道,越美南線,24
山田,長良川鉄道,越美南線,8
白鳥高原,長良川鉄道,越美南線,9
大島,長良川鉄道,越美南線,11
相生,長良川鉄道,越美南線,62
関富岡,長良川鉄道,越美南線,107
関,長良川鉄道,越美南線,420
徳永,長良川鉄道,越美南線,59
八坂,長良川鉄道,越美南線,9
大矢,長良川鉄道,越美南線,38
自然園前,長良川鉄道,越美南線,7
刃物会館前,長良川鉄道,越美南線,92
木尾,長良川鉄道,越美南線,26
関市役所前,長良川鉄道,越美南線,35
梅山,長良川鉄道,越美南線,337
美濃白鳥,長良川鉄道,越美南線,167
洲原,長良川鉄道,越美南線,39
福野,長良川鉄道,越美南線,55
関下有知,長良川鉄道,越美南線,182
松森,長良川鉄道,越美南線,59
郡上八幡,長良川鉄道,越美南線,274
みなみ子宝温泉,長良川鉄道,越美南線,45
関口,長良川鉄道,越美南線,418
白山長滝,長良川鉄道,越美南線,5
大中,長良川鉄道,越美南線,3
万場,長良川鉄道,越美南線,11
深郷田,津軽鉄道,津軽鉄道線,20
金木,津軽鉄道,津軽鉄道線,298
十川,津軽鉄道,津軽鉄道線,9
嘉瀬,津軽鉄道,津軽鉄道線,79
毘沙門,津軽鉄道,津軽鉄道線,4
津軽五所川原,津軽鉄道,津軽鉄道線,0
芦野公園,津軽鉄道,津軽鉄道線,85
津軽飯詰,津軽鉄道,津軽鉄道線,24
大沢内,津軽鉄道,津軽鉄道線,43
津軽中里,津軽鉄道,津軽鉄道線,202
川倉,津軽鉄道,津軽鉄道線,6
五農校前,津軽鉄道,津軽鉄道線,178
戸綿,天竜浜名湖鉄道,天竜浜名湖線,262
遠州森,天竜浜名湖鉄道,天竜浜名湖線,700
原田,天竜浜名湖鉄道,天竜浜名湖線,54
掛川市役所前,天竜浜名湖鉄道,天竜浜名湖線,214
いこいの広場,天竜浜名湖鉄道,天竜浜名湖線,139
桜木,天竜浜名湖鉄道,天竜浜名湖線,288
原谷,天竜浜名湖鉄道,天竜浜名湖線,257
西掛川,天竜浜名湖鉄道,天竜浜名湖線,219
細谷,天竜浜名湖鉄道,天竜浜名湖線,73
円田,天竜浜名湖鉄道,天竜浜名湖線,66
掛川,天竜浜名湖鉄道,天竜浜名湖線,1649
常葉大学前,天竜浜名湖鉄道,天竜浜名湖線,60
西気賀,天竜浜名湖鉄道,天竜浜名湖線,75
遠江一宮,天竜浜名湖鉄道,天竜浜名湖線,144
上野部,天竜浜名湖鉄道,天竜浜名湖線,9
宮口,天竜浜名湖鉄道,天竜浜名湖線,186
アスモ前,天竜浜名湖鉄道,天竜浜名湖線,37
岩水寺,天竜浜名湖鉄道,天竜浜名湖線,62
西鹿島,天竜浜名湖鉄道,天竜浜名湖線,0
浜名湖佐久米,天竜浜名湖鉄道,天竜浜名湖線,60
知波田,天竜浜名湖鉄道,天竜浜名湖線,94
都田,天竜浜名湖鉄道,天竜浜名湖線,58
新所原,天竜浜名湖鉄道,天竜浜名湖線,701
寸座,天竜浜名湖鉄道,天竜浜名湖線,25
敷地,天竜浜名湖鉄道,天竜浜名湖線,90
奥浜名湖,天竜浜名湖鉄道,天竜浜名湖線,69
天竜二俣,天竜浜名湖鉄道,天竜浜名湖線,247
東都筑,天竜浜名湖鉄道,天竜浜名湖線,109
岡地,天竜浜名湖鉄道,天竜浜名湖線,69
フルーツパーク,天竜浜名湖鉄道,天竜浜名湖線,29
尾奈,天竜浜名湖鉄道,天竜浜名湖線,93
都筑,天竜浜名湖鉄道,天竜浜名湖線,103
気賀,天竜浜名湖鉄道,天竜浜名湖線,192
豊岡,天竜浜名湖鉄道,天竜浜名湖線,132
三ヶ日,天竜浜名湖鉄道,天竜浜名湖線,452
二俣本町,天竜浜名湖鉄道,天竜浜名湖線,98
金指,天竜浜名湖鉄道,天竜浜名湖線,647
よしかわ,土佐くろしお鉄道,阿佐線,18
奈半利,土佐くろしお鉄道,阿佐線,354
香我美,土佐くろしお鉄道,阿佐線,98
あかおか,土佐くろしお鉄道,阿佐線,235
下山,土佐くろしお鉄道,阿佐線,15
のいち,土佐くろしお鉄道,阿佐線,1316
赤野,土佐くろしお鉄道,阿佐線,39
球場前,土佐くろしお鉄道,阿佐線,173
穴内,土佐くろしお鉄道,阿佐線,12
西分,土佐くろしお鉄道,阿佐線,47
伊尾木,土佐くろしお鉄道,阿佐線,62
安田,土佐くろしお鉄道,阿佐線,105
唐浜,土佐くろしお鉄道,阿佐線,43
後免町,土佐くろしお鉄道,阿佐線,352
後免,土佐くろしお鉄道,阿佐線,0
和食,土佐くろしお鉄道,阿佐線,195
安芸,土佐くろしお鉄道,阿佐線,951
立田,土佐くろしお鉄道,阿佐線,26
夜須,土佐くろしお鉄道,阿佐線,228
田野,土佐くろしお鉄道,阿佐線,137
国見,土佐くろしお鉄道,宿毛線,4
平田,土佐くろしお鉄道,宿毛線,128
東宿毛,土佐くろしお鉄道,宿毛線,38
具同,土佐くろしお鉄道,宿毛線,106
宿毛,土佐くろしお鉄道,宿毛線,511
工業団地,土佐くろしお鉄道,宿毛線,55
有岡,土佐くろしお鉄道,宿毛線,85
中村,土佐くろしお鉄道,宿毛線,0
荷稲,土佐くろしお鉄道,中村線,23
若井,土佐くろしお鉄道,中村線,26
窪川,土佐くろしお鉄道,中村線,299
中村,土佐くろしお鉄道,中村線,990
佐賀公園,土佐くろしお鉄道,中村線,3
西大方,土佐くろしお鉄道,中村線,9
土佐佐賀,土佐くろしお鉄道,中村線,134
海の王迎,土佐くろしお鉄道,中村線,9
土佐上川口,土佐くろしお鉄道,中村線,18
伊与喜,土佐くろしお鉄道,中村線,21
有井川,土佐くろしお鉄道,中村線,13
土佐入野,土佐くろしお鉄道,中村線,226
浮鞭,土佐くろしお鉄道,中村線,21
古津賀,土佐くろしお鉄道,中村線,110
土佐白浜,土佐くろしお鉄道,中村線,0
はりまや橋,とさでん交通,伊野線,0
朝倉,とさでん交通,伊野線,558
宇治団地前,とさでん交通,伊野線,100
上町五丁目,とさでん交通,伊野線,1065
曙町東町,とさでん交通,伊野線,100
曙町,とさでん交通,伊野線,95
高知城前,とさでん交通,伊野線,801
朝倉駅前,とさでん交通,伊野線,174
県庁前,とさでん交通,伊野線,1578
旭駅前通,とさでん交通,伊野線,1097
咥内,とさでん交通,伊野線,122
蛍橋,とさでん交通,伊野線,548
鴨部,とさでん交通,伊野線,418
朝倉神社前,とさでん交通,伊野線,47
上町二丁目,とさでん交通,伊野線,608
上町一丁目,とさでん交通,伊野線,441
旭町一丁目,とさでん交通,伊野線,347
大橋通,とさでん交通,伊野線,2296
枡形,とさでん交通,伊野線,649
上町四丁目,とさでん交通,伊野線,359
鏡川橋,とさでん交通,伊野線,880
旭町三丁目,とさでん交通,伊野線,967
堀詰,とさでん交通,伊野線,1839
グランド通,とさでん交通,伊野線,631
宮の奥,とさでん交通,伊野線,87
伊野,とさでん交通,伊野線,405
枝川,とさでん交通,伊野線,159
北山,とさでん交通,伊野線,39
鳴谷,とさでん交通,伊野線,50
八代通,とさでん交通,伊野線,278
伊野商業前,とさでん交通,伊野線,90
伊野駅前,とさでん交通,伊野線,53
中山,とさでん交通,伊野線,92
清和学園前,とさでん交通,後免線,122
菜園場町,とさでん交通,後免線,1003
後免東町,とさでん交通,後免線,176
長崎,とさでん交通,後免線,99
県立美術館通,とさでん交通,後免線,455
文殊通,とさでん交通,後免線,1016
知寄町一丁目,とさでん交通,後免線,584
鹿児,とさでん交通,後免線,727
新木,とさでん交通,後免線,360
後免西町,とさでん交通,後免線,278
明見橋,とさでん交通,後免線,93
田辺島通,とさでん交通,後免線,231
一条橋,とさでん交通,後免線,67
知寄町三丁目,とさでん交通,後免線,497
北浦,とさでん交通,後免線,51
東新木,とさでん交通,後免線,300
後免中町,とさでん交通,後免線,106
舟戸,とさでん交通,後免線,402
葛島橋東詰,とさでん交通,後免線,314
篠原,とさでん交通,後免線,131
知寄町二丁目,とさでん交通,後免線,693
デンテツターミナルビル前,とさでん交通,後免線,2321
介良通,とさでん交通,後免線,458
東工業前,とさでん交通,後免線,130
後免町,とさでん交通,後免線,921
小篭通,とさでん交通,後免線,31
高須,とさでん交通,後免線,257
領石通,とさでん交通,後免線,438
はりまや橋,とさでん交通,後免線,0
住吉通,とさでん交通,後免線,85
知寄町,とさでん交通,後免線,530
西高須,とさでん交通,後免線,560
宝永町,とさでん交通,後免線,802
桟橋通五丁目,とさでん交通,桟橋線,197
桟橋車庫前,とさでん交通,桟橋線,520
高知橋,とさでん交通,駅前線,387
桟橋通三丁目,とさでん交通,桟橋線,794
梅の辻,とさでん交通,桟橋線,542
高知駅前,とさでん交通,駅前線,1577
蓮池町通,とさでん交通,駅前線,315
桟橋通四丁目,とさでん交通,桟橋線,353
はりまや橋,とさでん交通,駅前線,4532
桟橋通一丁目,とさでん交通,桟橋線,544
桟橋通二丁目,とさでん交通,桟橋線,260
島原外港,島原鉄道,島原鉄道線,175
多比良町,島原鉄道,島原鉄道線,416
阿母崎,島原鉄道,島原鉄道線,82
三会,島原鉄道,島原鉄道線,69
南島原,島原鉄道,島原鉄道線,73
神代町,島原鉄道,島原鉄道線,176
森山,島原鉄道,島原鉄道線,141
諫早東高校前,島原鉄道,島原鉄道線,379
愛野,島原鉄道,島原鉄道線,429
幸,島原鉄道,島原鉄道線,362
干拓の里,島原鉄道,島原鉄道線,127
諫早,島原鉄道,島原鉄道線,2438
釜ノ鼻,島原鉄道,島原鉄道線,68
島鉄本社前,島原鉄道,島原鉄道線,116
西郷,島原鉄道,島原鉄道線,172
島原,島原鉄道,島原鉄道線,963
吾妻,島原鉄道,島原鉄道線,292
大三東,島原鉄道,島原鉄道線,95
島鉄湯江,島原鉄道,島原鉄道線,111
松尾町,島原鉄道,島原鉄道線,30
小野本町,島原鉄道,島原鉄道線,148
本諫早,島原鉄道,島原鉄道線,1294
大正,島原鉄道,島原鉄道線,82
古部,島原鉄道,島原鉄道線,73
小田井,東海交通事業,城北線,382
枇杷島,東海交通事業,城北線,0
尾張星の宮,東海交通事業,城北線,373
勝川,東海交通事業,城北線,439
味美,東海交通事業,城北線,216
比良,東海交通事業,城北線,226
名古屋,東海旅客鉄道,関西線,0
八田,東海旅客鉄道,関西線,0
朝日,東海旅客鉄道,関西線,0
富田浜,東海旅客鉄道,関西線,0
富田,東海旅客鉄道,関西線,0
蟹江,東海旅客鉄道,関西線,0
弥富,東海旅客鉄道,関西線,0
桑名,東海旅客鉄道,関西線,0
永和,東海旅客鉄道,関西線,0
長島,東海旅客鉄道,関西線,0
春田,東海旅客鉄道,関西線,0
河原田,東海旅客鉄道,関西線,0
南四日市,東海旅客鉄道,関西線,0
加佐登,東海旅客鉄道,関西線,0
四日市,東海旅客鉄道,関西線,0
河曲,東海旅客鉄道,関西線,0
河原田,東海旅客鉄道,関西線,0
亀山,東海旅客鉄道,関西線,0
井田川,東海旅客鉄道,関西線,0
三木里,東海旅客鉄道,紀勢線,0
紀伊長島,東海旅客鉄道,紀勢線,0
九鬼,東海旅客鉄道,紀勢線,0
亀山,東海旅客鉄道,紀勢線,0
尾鷲,東海旅客鉄道,紀勢線,0
相可,東海旅客鉄道,紀勢線,0
阿曽,東海旅客鉄道,紀勢線,0
一身田,東海旅客鉄道,紀勢線,0
大泊,東海旅客鉄道,紀勢線,0
波田須,東海旅客鉄道,紀勢線,0
伊勢柏崎,東海旅客鉄道,紀勢線,0
川添,東海旅客鉄道,紀勢線,0
神志山,東海旅客鉄道,紀勢線,0
栃原,東海旅客鉄道,紀勢線,0
津,東海旅客鉄道,紀勢線,0
二木島,東海旅客鉄道,紀勢線,0
松阪,東海旅客鉄道,紀勢線,0
相賀,東海旅客鉄道,紀勢線,0
多気,東海旅客鉄道,紀勢線,0
新鹿,東海旅客鉄道,紀勢線,0
熊野市,東海旅客鉄道,紀勢線,0
下庄,東海旅客鉄道,紀勢線,0
紀伊市木,東海旅客鉄道,紀勢線,0
三野瀬,東海旅客鉄道,紀勢線,0
大曽根浦,東海旅客鉄道,紀勢線,0
三瀬谷,東海旅客鉄道,紀勢線,0
梅ヶ谷,東海旅客鉄道,紀勢線,0
有井,東海旅客鉄道,紀勢線,0
徳和,東海旅客鉄道,紀勢線,0
